Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for windows-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 18:21:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8096224k(3274140k free), swap 15733820k(4340300k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
3.225: [GC (Allocation Failure) 3.225: [DefNew: 960K->64K(960K), 0.0015921 secs] 30571K->30109K(524224K), 0.0016710 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.227: [GC (Allocation Failure) 3.227: [DefNew: 960K->64K(960K), 0.0019154 secs] 31005K->30543K(524224K), 0.0020176 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.231: [GC (Allocation Failure) 3.231: [DefNew: 960K->64K(960K), 0.0017756 secs] 31439K->30977K(524224K), 0.0018798 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.234: [GC (Allocation Failure) 3.234: [DefNew: 960K->64K(960K), 0.0019635 secs] 31873K->31412K(524224K), 0.0020559 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.237: [GC (Allocation Failure) 3.237: [DefNew: 960K->64K(960K), 0.0018265 secs] 32308K->31846K(524224K), 0.0019371 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.242: [GC (Allocation Failure) 3.242: [DefNew: 960K->64K(960K), 0.0023437 secs] 33680K->33218K(524224K), 0.0024570 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.246: [GC (Allocation Failure) 3.246: [DefNew: 960K->64K(960K), 0.0017085 secs] 34114K->33651K(524224K), 0.0018206 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.249: [GC (Allocation Failure) 3.249: [DefNew: 960K->64K(960K), 0.0022552 secs] 34547K->34086K(524224K), 0.0023670 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.253: [GC (Allocation Failure) 3.253: [DefNew: 960K->64K(960K), 0.0024621 secs] 34982K->34519K(524224K), 0.0025955 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.258: [GC (Allocation Failure) 3.258: [DefNew: 960K->64K(960K), 0.0018968 secs] 35415K->34952K(524224K), 0.0020200 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
